step,epoch,sample_id_from_registered_order,lr_0.01_loss,lr_0.0001_loss
1,1,file-05-independent_review,0.5103158354759216,0.5103158354759216
2,1,file-09-independent_review,10.853367805480957,0.5983635187149048
3,1,file-06-executed_read,8.846962928771973,0.28882789611816406
4,1,file-03-independent_review,10.2299165725708,0.32389840483665466
5,1,file-01-independent_review,9.763900756835938,0.5980736017227173
6,1,file-10-independent_review,8.686046600341797,1.0460397005081177
7,1,file-02-executed_read,6.86799430847168,0.21899577975273132
8,1,file-01-executed_read,5.051977157592773,0.1803138554096222
9,1,file-07-independent_review,8.144879341125488,0.7190257906913757
10,1,file-07-executed_read,4.975356101989746,0.1644703596830368
11,1,file-10-executed_read,4.135523796081543,0.16643592715263367
12,1,file-04-executed_read,3.2697689533233643,0.17286939918994904
13,1,file-08-executed_read,2.6300156116485596,0.14846394956111908
14,1,file-09-executed_read,3.222930908203125,0.09855794161558151
15,1,file-08-independent_review,8.165599822998047,0.3944721221923828
16,1,file-05-executed_read,2.079374313354492,0.07779459655284882
17,1,file-04-independent_review,7.392611503601074,0.09408237785100937
18,1,file-03-executed_read,3.3939597606658936,0.1468084454536438
19,2,file-04-executed_read,1.5451081991195679,0.055967193096876144
20,2,file-07-independent_review,7.087625026702881,0.7123054265975952
21,2,file-01-executed_read,2.238130807876587,0.11064192652702332
22,2,file-03-executed_read,1.811566710472107,0.13475793600082397
23,2,file-05-independent_review,6.507859706878662,0.4585890769958496
24,2,file-08-executed_read,0.7498664855957031,0.039639558643102646
25,2,file-09-executed_read,1.5464296340942383,0.02973296493291855
26,2,file-06-executed_read,1.4957724809646606,0.02794460579752922
27,2,file-07-executed_read,1.2894479036331177,0.018171939998865128
28,2,file-03-independent_review,5.88936710357666,0.3160419166088104
29,2,file-10-independent_review,5.9574360847473145,1.0089507102966309
30,2,file-08-independent_review,5.7963175773620605,0.385335236787796
31,2,file-05-executed_read,0.7100882530212402,0.015212818048894405
32,2,file-04-independent_review,5.376856327056885,0.089527927339077
33,2,file-02-executed_read,1.2975276708602905,0.11723220348358154
34,2,file-10-executed_read,0.7111906409263611,0.00943656824529171
35,2,file-09-independent_review,5.105002403259277,0.5690646171569824
36,2,file-01-independent_review,5.122668743133545,0.5559052228927612
37,3,file-10-independent_review,5.005430221557617,0.973574161529541
38,3,file-08-executed_read,0.5217666029930115,0.015324300155043602
39,3,file-01-independent_review,4.680293083190918,0.547335684299469
40,3,file-03-executed_read,0.7052404284477234,0.08629245311021805
41,3,file-07-executed_read,0.8237811923027039,0.010244710370898247
42,3,file-10-executed_read,0.19945219159126282,0.010957442224025726
43,3,file-04-independent_review,4.651927947998047,0.08465364575386047
44,3,file-03-independent_review,4.467640399932861,0.3043674826622009
45,3,file-02-executed_read,0.288800984621048,0.0707831159234047
46,3,file-05-independent_review,4.590694427490234,0.43386930227279663
47,3,file-01-executed_read,0.4398781359195709,0.07344471663236618
48,3,file-04-executed_read,0.32398292422294617,0.03929440304636955
49,3,file-09-independent_review,4.247195720672607,0.5464295744895935
50,3,file-08-independent_review,4.350804328918457,0.3667154908180237
51,3,file-05-executed_read,0.21847617626190186,0.014488412998616695
52,3,file-09-executed_read,0.31186673045158386,0.009379763156175613
53,3,file-07-independent_review,4.627750396728516,0.6487195491790771
54,3,file-06-executed_read,0.19668768346309662,0.007609981577843428
